Xvalue,Yvalue,Zvalue,,TPC,PD,Prob,,X90,Y90,Z90,,X80,Y80,Z80,,X70,Y70,Z70,,X60,Y60,Z60
118.4,3438.6,0.8976,,,,,,,,,,118.4,3438.6,0.8976,,,,,,,,
116.5,3543.8,0.897,,,,,,,,,,116.5,3543.8,0.897,,,,,,,,
138,3286.9,0.8948,,,,,,,,,,138,3286.9,0.8948,,,,,,,,
119.4,3389,0.8944,,,,,,,,,,119.4,3389,0.8944,,,,,,,,
130.2,3292.6,0.8942,,,,,,,,,,130.2,3292.6,0.8942,,,,,,,,
127.7,3297,0.8942,,,,,,,,,,127.7,3297,0.8942,,,,,,,,
122.7,3335.4,0.894,,,,,,,,,,122.7,3335.4,0.894,,,,,,,,
119.4,3385.8,0.894,,,,,,,,,,119.4,3385.8,0.894,,,,,,,,
122.5,3334.1,0.8926,,,,,,,,,,122.5,3334.1,0.8926,,,,,,,,
115.2,3616.8,0.8924,,,,,,,,,,115.2,3616.8,0.8924,,,,,,,,
115.2,3612.9,0.8924,,,,,,,,,,115.2,3612.9,0.8924,,,,,,,,
117,3449,0.891,,,,,,,,,,117,3449,0.891,,,,,,,,
114.7,3658.3,0.8908,,,,,,,,,,114.7,3658.3,0.8908,,,,,,,,
116.8,3465.5,0.8908,,,,,,,,,,116.8,3465.5,0.8908,,,,,,,,
120.3,3358.4,0.8908,,,,,,,,,,120.3,3358.4,0.8908,,,,,,,,
126.9,3292.3,0.8906,,,,,,,,,,126.9,3292.3,0.8906,,,,,,,,
124.5,3303.8,0.8906,,,,,,,,,,124.5,3303.8,0.8906,,,,,,,,
118.7,3384.6,0.8902,,,,,,,,,,118.7,3384.6,0.8902,,,,,,,,
113.7,3892.3,0.89,,,,,,,,,,113.7,3892.3,0.89,,,,,,,,
124.4,3301.4,0.89,,,,,,,,,,124.4,3301.4,0.89,,,,,,,,
117.4,3430.7,0.89,,,,,,,,,,117.4,3430.7,0.89,,,,,,,,
116.1,3496.3,0.8896,,,,,,,,,,116.1,3496.3,0.8896,,,,,,,,
122.4,3321.4,0.8894,,,,,,,,,,122.4,3321.4,0.8894,,,,,,,,
115.1,3574.7,0.8884,,,,,,,,,,115.1,3574.7,0.8884,,,,,,,,
115.7,3505,0.8884,,,,,,,,,,115.7,3505,0.8884,,,,,,,,
116,3492.2,0.8882,,,,,,,,,,116,3492.2,0.8882,,,,,,,,
118.2,3384.9,0.8874,,,,,,,,,,118.2,3384.9,0.8874,,,,,,,,
125.4,3283.2,0.8864,,,,,,,,,,125.4,3283.2,0.8864,,,,,,,,
123.8,3298,0.8862,,,,,,,,,,123.8,3298,0.8862,,,,,,,,
115,3561.7,0.8862,,,,,,,,,,115,3561.7,0.8862,,,,,,,,
117.6,3404.3,0.8862,,,,,,,,,,117.6,3404.3,0.8862,,,,,,,,
120.4,3334.7,0.8856,,,,,,,,,,120.4,3334.7,0.8856,,,,,,,,
127.5,3273.9,0.8854,,,,,,,,,,127.5,3273.9,0.8854,,,,,,,,
126.7,3277.6,0.8852,,,,,,,,,,126.7,3277.6,0.8852,,,,,,,,
114.1,3655.8,0.8842,,,,,,,,,,114.1,3655.8,0.8842,,,,,,,,
114.5,3601.7,0.8842,,,,,,,,,,114.5,3601.7,0.8842,,,,,,,,
115.3,3503,0.8838,,,,,,,,,,115.3,3503,0.8838,,,,,,,,
125.9,3273.7,0.8832,,,,,,,,,,125.9,3273.7,0.8832,,,,,,,,
116.6,3435,0.883,,,,,,,,,,116.6,3435,0.883,,,,,,,,
124.5,3279.8,0.8828,,,,,,,,,,124.5,3279.8,0.8828,,,,,,,,
113.5,3743.9,0.8822,,,,,,,,,,113.5,3743.9,0.8822,,,,,,,,
126.2,3272.3,0.882,,,,,,,,,,126.2,3272.3,0.882,,,,,,,,
115.2,3493.7,0.8814,,,,,,,,,,115.2,3493.7,0.8814,,,,,,,,
120.5,3314,0.881,,,,,,,,,,120.5,3314,0.881,,,,,,,,
123.3,3281.8,0.8808,,,,,,,,,,123.3,3281.8,0.8808,,,,,,,,
115.2,3479.1,0.879,,,,,,,,,,115.2,3479.1,0.879,,,,,,,,
112.6,3939.4,0.8774,,,,,,,,,,112.6,3939.4,0.8774,,,,,,,,
124.3,3267.6,0.8772,,,,,,,,,,124.3,3267.6,0.8772,,,,,,,,
117.6,3349.3,0.877,,,,,,,,,,117.6,3349.3,0.877,,,,,,,,
113.2,3712.3,0.8768,,,,,,,,,,113.2,3712.3,0.8768,,,,,,,,
119.5,3311.4,0.876,,,,,,,,,,119.5,3311.4,0.876,,,,,,,,
124.2,3264.5,0.8758,,,,,,,,,,124.2,3264.5,0.8758,,,,,,,,
122.1,3279.9,0.8758,,,,,,,,,,122.1,3279.9,0.8758,,,,,,,,
117.7,3341.5,0.8758,,,,,,,,,,117.7,3341.5,0.8758,,,,,,,,
115.3,3444,0.8752,,,,,,,,,,115.3,3444,0.8752,,,,,,,,
113.9,3549,0.875,,,,,,,,,,113.9,3549,0.875,,,,,,,,
115.8,3418.9,0.875,,,,,,,,,,115.8,3418.9,0.875,,,,,,,,
113.6,3578.1,0.8742,,,,,,,,,,113.6,3578.1,0.8742,,,,,,,,
116.6,3380,0.874,,,,,,,,,,116.6,3380,0.874,,,,,,,,
114.8,3463.5,0.8738,,,,,,,,,,114.8,3463.5,0.8738,,,,,,,,
112.8,3712.7,0.8732,,,,,,,,,,112.8,3712.7,0.8732,,,,,,,,
125.1,3250.5,0.8732,,,,,,,,,,125.1,3250.5,0.8732,,,,,,,,
112,4006.4,0.8718,,,,,,,,,,112,4006.4,0.8718,,,,,,,,
125.4,3246.5,0.8718,,,,,,,,,,125.4,3246.5,0.8718,,,,,,,,
122.5,3265.4,0.8712,,,,,,,,,,122.5,3265.4,0.8712,,,,,,,,
114.4,3475.1,0.871,,,,,,,,,,114.4,3475.1,0.871,,,,,,,,
136.9,3229.9,0.8706,,,,,,,,,,136.9,3229.9,0.8706,,,,,,,,
116.3,3378,0.8706,,,,,,,,,,116.3,3378,0.8706,,,,,,,,
119.1,3296,0.8704,,,,,,,,,,119.1,3296,0.8704,,,,,,,,
112.3,3768.6,0.8698,,,,,,,,,,112.3,3768.6,0.8698,,,,,,,,
112.5,3716.3,0.8696,,,,,,,,,,112.5,3716.3,0.8696,,,,,,,,
114.5,3449.7,0.8696,,,,,,,,,,114.5,3449.7,0.8696,,,,,,,,
113.8,3495,0.8686,,,,,,,,,,113.8,3495,0.8686,,,,,,,,
